"pot_key","string","year","date_retrieved","pot_number","opcode","set_local","ret_local","longitude","latitude","depth_m"
"2025_2025-04-09_1","1",2025,"2025-04-09","1","","2025-04-08 14:25:28","2025-04-09 09:02:39",113.453101667108,-28.1591983332669,43.5
"2025_2025-04-09_2","1",2025,"2025-04-09","2","","2025-04-08 14:27:38","2025-04-09 08:58:49",113.452534999946,-28.1575333330373,42
"2025_2025-04-09_3","1",2025,"2025-04-09","3","","2025-04-08 14:31:21","2025-04-09 08:55:12",113.451718333436,-28.1547600003953,40.3
"2025_2025-04-09_4","1",2025,"2025-04-09","4","","2025-04-08 14:34:25","2025-04-09 08:52:03",113.450986666417,-28.1519650000404,40.9
"2025_2025-04-09_5","1",2025,"2025-04-09","5","","2025-04-08 14:36:31","2025-04-09 08:48:52",113.450213333738,-28.1491916665189,44
"2025_2025-04-09_6","1",2025,"2025-04-09","6","","2025-04-08 14:38:41","2025-04-09 08:44:46",113.449373333489,-28.1464783336714,43.2
"2025_2025-04-09_7","1",2025,"2025-04-09","7","","2025-04-08 14:40:46","2025-04-09 08:40:39",113.44860333356,-28.1436316667302,43.6
"2025_2025-04-09_8","1",2025,"2025-04-09","8","","2025-04-08 14:42:55","2025-04-09 08:36:09",113.447855000098,-28.1409500000301,42.7
"2025_2025-04-09_9","1",2025,"2025-04-09","9","","2025-04-08 14:45:55","2025-04-09 08:33:47",113.447073333748,-28.1379216664342,43.6
"2025_2025-04-09_10","1",2025,"2025-04-09","10","","2025-04-08 14:48:10","2025-04-09 08:31:04",113.446444999936,-28.1354416668595,43.5
"2025_2025-04-09_11","2",2025,"2025-04-09","11","","2025-04-08 14:53:31","2025-04-09 08:26:17",113.440006666497,-28.1316549997343,39.9
"2025_2025-04-09_12","2",2025,"2025-04-09","12","","2025-04-08 14:55:17","2025-04-09 08:23:52",113.439106666872,-28.1300033334805,39.2
"2025_2025-04-09_13","2",2025,"2025-04-09","13","","2025-04-08 14:58:00","2025-04-09 08:18:56",113.438138333301,-28.1282600002638,39.3
"2025_2025-04-09_14","2",2025,"2025-04-09","14","","2025-04-08 15:00:13","2025-04-09 08:16:13",113.437236666403,-28.1270033335178,40
"2025_2025-04-09_15","2",2025,"2025-04-09","15","","2025-04-08 15:02:17","2025-04-09 08:11:53",113.436471666497,-28.125628333629,38.9
