GA ID,SURV_CODE,SURVEY_NAME,DATA_TYPE,VESSEL,START_DATE,END_DATE,START_PORT,END_PORT,DATA_OWNER,SYSTEM,TVU,Licence
GA0344,9672,NthBrowseBasin,multibeam,MV Duke,24/12/2013,4/01/2014,Singapore,na,GA,Kongsberg EM2040 (200 kHz)/EM302 (30 kHz),IHO S44 1b,Geoscience Australia
GA0157,ADEDAV,Adedav,multibeam,NO L'Atalante,3/04/1994,15/04/1994,Adelaide,SW Timor,IFREMER,Kongsberg EM12D (12 kHz),IHO S44 1b,Geoscience Australia
,AIMS2014,GBR,singlebeam,RV Cape Ferguson,30/09/2008,19/02/2014,Cape Ferguson,Cape Ferguson,AIMS,Furuno FCV-1200L (200 kHz),IHO S44 2,AIMS
,AIMS6352,BiggeIsland,multibeam,RV Solander,1/12/2015,18/12/2015,Broome,Darwin,AIMS/WAMSI,Kongsberg EM2040C (300 kHz),IHO S44 1b,
,AIMS6396,HolothuriaReef,multibeam,RV Solander,27/02/2016,15/03/2016,Darwin,Darwin,AIMS/WAMSI,Kongsberg EM2040C (300 kHz),IHO S44 1b,
,AllenCoralAtlas,CrocodileIslands,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,ElizabethReef,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,EntranceIsland,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,GoulburnIslands,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,GrooteIsland,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,IndonesiaCentral,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,IndonesiaEast,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,IndonesiaWest,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,MiddletonReef,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,MorningtonIsland,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,NewCaledoniaCentral,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,NewCaledoniaEast,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,NewYearIsland,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
,AllenCoralAtlas,PNGNorth,SDB,Sentinal2,1/01/2018,30/12/2020,na,na,Allen Coral Atlas,physics,15% + 0.5,"CC BY 4.0: 2020 Allen Coral Atlas Partnership and Vulcan, Inc. (Bathymetry - composite depth). Available from: www.allencoralatlas.org"
