event_id,start_date,end_date,peak_dhw,peak_date
19,4/02/2025,9/05/2025,8.808577969,24/03/2025
17,1/02/2024,1/06/2024,14.51848641,3/04/2024
11,8/02/2019,14/05/2019,9.945842632,1/04/2019
7,9/02/2017,9/05/2017,9.237862661,31/03/2017
5,26/02/2016,3/06/2016,9.149241774,11/04/2016
21,22/02/2026,19/05/2026,7.981416309,30/03/2026
15,12/02/2022,2/05/2022,6.485121602,17/03/2022
13,13/02/2020,24/04/2020,6.856025751,18/03/2020
9,19/02/2018,11/05/2018,7.39672103,14/04/2018
3,14/02/2015,26/04/2015,5.842449213,7/04/2015
1,31/03/2011,16/04/2011,4.343075823,9/04/2011
