"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","geoscience_depth","geoscience_aspect","geoscience_roughness","geoscience_detrended","year","cumsum.wi"
"geoscience_depth.by.year+geoscience_detrended.by.year+geoscience_roughness.by.year+year...1","macroalgae","s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_detrended, by = year, k = 3, bs = ""cr"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",7164.064157612,7217.36442526098,0.08565,NA,11.86,0,0,6.893,0.573,0.031,1,0,1,1,1,0.573
"geoscience_depth.by.year+geoscience_detrended.by.year+geoscience_roughness+year...2","macroalgae","s(geoscience_roughness, k = 3, bs = ""cr"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_detrended, by = year, k = 3, bs = ""cr"") + year",7164.66388203615,7210.4713258429,0.08504,NA,10.18,0,0.6,0,0.425,0.965,1,0,1,1,1,0.998
"geoscience_depth.by.year+geoscience_detrended.by.year+geoscience_roughness.by.year+year...3","sand","s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_detrended, by = year, k = 3, bs = ""cr"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",11173.5036998569,11225.7919115148,0.38782,NA,11.64,0,0,3.546,0.641,0.145,1,0,1,1,1,0.641
"geoscience_depth.by.year+geoscience_detrended.by.year+geoscience_roughness+year...4","sand","s(geoscience_roughness, k = 3, bs = ""cr"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_detrended, by = year, k = 3, bs = ""cr"") + year",11174.6795009131,11222.245461341,0.38761,NA,10.58,0,1.176,0,0.356,0.853,1,0,1,1,1,0.997
"geoscience_aspect.by.year+geoscience_depth+geoscience_roughness.by.year+year","sessile_invertebrates","s(geoscience_depth, k = 3, bs = ""cr"") + s(geoscience_aspect, by = year, k = 3, bs = ""cc"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",2085.3972678946,2120.27957247985,0.08775,NA,8.15,0,0,7.419,0.168,0.019,1,1,1,0,1,0.168
"geoscience_aspect+geoscience_depth+geoscience_roughness.by.year+year","sessile_invertebrates","s(geoscience_aspect, k = 3, bs = ""cc"") + s(geoscience_depth, k = 3, bs = ""cr"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",2085.61139117339,2117.83978714936,0.087,NA,7.15,0,0.214,4.98,0.151,0.065,1,1,1,0,1,0.319
"geoscience_aspect+geoscience_depth.by.year+geoscience_roughness+year","sessile_invertebrates","s(geoscience_aspect, k = 3, bs = ""cc"") + s(geoscience_roughness, k = 3, bs = ""cr"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + year",2085.74393849047,2120.29826247548,0.08749,NA,7.67,0,0.347,7.438,0.141,0.019,1,1,1,0,1,0.46
"geoscience_aspect+geoscience_depth+geoscience_roughness+year","sessile_invertebrates","s(geoscience_aspect, k = 3, bs = ""cc"") + s(geoscience_depth, k = 3, bs = ""cr"") + s(geoscience_roughness, k = 3, bs = ""cr"") + year",2085.75127919355,2112.86014812319,0.0857,NA,6.01,0,0.354,0,0.141,0.788,1,1,1,0,1,0.601
"geoscience_aspect.by.year+geoscience_depth.by.year+geoscience_roughness+year","sessile_invertebrates","s(geoscience_roughness, k = 3, bs = ""cr"") + s(geoscience_aspect, by = year, k = 3, bs = ""cc"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + year",2086.14410517824,2122.67899881104,0.08776,NA,8.49,0,0.747,9.819,0.116,0.006,1,1,1,0,1,0.717
"geoscience_aspect.by.year+geoscience_depth.by.year+geoscience_roughness.by.year+year","sessile_invertebrates","s(geoscience_aspect, by = year, k = 3, bs = ""cc"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",2086.4048289737,2125.85468387441,0.08832,NA,9.29,0,1.008,12.995,0.101,0.001,1,1,1,0,1,0.818
"geoscience_aspect.by.year+geoscience_depth+geoscience_roughness+year","sessile_invertebrates","s(geoscience_depth, k = 3, bs = ""cr"") + s(geoscience_roughness, k = 3, bs = ""cr"") + s(geoscience_aspect, by = year, k = 3, bs = ""cc"") + year",2086.81648785418,2118.61685969817,0.08626,NA,7.06,0,1.419,5.757,0.083,0.044,1,1,1,0,1,0.901
"geoscience_aspect+geoscience_depth.by.year+geoscience_roughness.by.year+year","sessile_invertebrates","s(geoscience_aspect, k = 3, bs = ""cc"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",2086.98458668946,2125.52914700712,0.0878,NA,8.56,0,1.587,12.669,0.076,0.001,1,1,1,0,1,0.977
"geoscience_depth.by.year+geoscience_detrended.by.year+geoscience_roughness.by.year+year...13","reef","s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_detrended, by = year, k = 3, bs = ""cr"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",8423.0899015171,8478.20861497702,0.0666,NA,12.27,0,0,7.951,0.515,0.018,1,0,1,1,1,0.515
"geoscience_depth.by.year+geoscience_detrended.by.year+geoscience_roughness+year...14","reef","s(geoscience_roughness, k = 3, bs = ""cr"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_detrended, by = year, k = 3, bs = ""cr"") + year",8423.22535529244,8470.25742081532,0.0661,NA,10.46,0,0.135,0,0.482,0.981,1,0,1,1,1,0.997
"geoscience_depth.by.year+geoscience_detrended+geoscience_roughness.by.year+year","rock","s(geoscience_detrended, k = 3, bs = ""cr"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_roughness, by = year, k = 3, bs = ""cr"") + year",249.123637845689,296.646416549051,0.48828,NA,10.57,0,0,0,0.721,0.825,1,0,1,1,1,0.721
"geoscience_aspect.by.year+geoscience_depth.by.year+geoscience_detrended.by.year+year","seagrasses","s(geoscience_aspect, by = year, k = 3, bs = ""cc"") + s(geoscience_depth, by = year, k = 3, bs = ""cr"") + s(geoscience_detrended, by = year, k = 3, bs = ""cr"") + year",9383.69678482936,9443.68429186158,0.42307,NA,13.37,0,0,0.143,0.987,0.482,1,1,0,1,1,0.987
